object_id,ra,decl,gal_l,gal_b,ddf,hostgal_specz,hostgal_photoz,hostgal_photoz_err,distmod,mwebv,target
23396,359.811707,-45.191612,329.485675,-69.150905,1,0.5667,0.6192,0.1193,42.822,0.01,90
23409,348.595886,-63.07262,320.023289,-50.71306,1,0.1407,0.1392,0.0136,39.0882,0.021,52
23539,34.277344,-5.079716,169.526841,-59.95664,1,0.455,0.2524,0.3112,40.5254,0.019,95
23795,51.855469,-26.276812,220.627031,-55.293792,1,0,0,0,,0.014,65
23857,151.699219,3.583322,236.533224,44.205648,1,0.2988,0.4769,0.0894,42.1379,0.016,90
23931,32.695312,-4.929937,166.868469,-60.84123,1,0.6282,0.6337,0.0073,42.8832,0.018,88
24236,346.655182,-63.260487,320.952196,-50.040935,1,0,0,0,,0.019,65
24592,349.966217,-62.696659,319.542989,-51.376556,1,0.2901,0.2846,0.0249,40.8234,0.021,90
24849,53.085938,-27.11186,222.384291,-54.355086,1,0,0,0,,0.007,16
24903,52.03125,-26.443335,220.963669,-55.168557,1,0,0,0,,0.014,65
24947,150.117188,2.238686,236.784618,42.139082,1,0.4723,0.4521,0.0193,41.9998,0.016,90
24989,34.804688,-5.829153,171.307861,-60.174401,1,0.4468,0.4763,0.0117,42.1349,0.023,90
25039,346.5625,-63.448284,320.82472,-49.866957,1,0.3161,0.2675,1.1577,40.6696,0.021,90
25529,358.3125,-44.993881,332.185785,-68.685906,1,0.2835,0.5789,0.218,42.6448,0.009,90
25577,348.529419,-61.75544,321.29398,-51.763351,1,0.4028,0.3918,0.017,41.6314,0.016,90
25783,150.820312,3.134927,236.341348,43.230123,1,0.104,0.1439,0.0116,39.1669,0.016,42
25920,150.644531,3.583322,235.698235,43.342784,1,0,0,0,,0.018,16
26161,359.415588,-46.768478,327.729895,-67.686097,1,0,0,0,,0.009,92
26352,1.708861,-45.586655,325.688716,-69.520253,1,0,0,0,,0.011,65
26401,151.699219,3.583322,236.533224,44.205648,1,0,0,0,,0.016,16
26531,351.259003,-64.386185,317.34486,-50.255113,1,2.5314,2.4324,0.2792,46.4755,0.02,88
26660,347.84671,-64.760857,318.929827,-49.143596,1,0,0,0,,0.019,65
27339,51.855469,-26.276812,220.627031,-55.293792,1,0.1432,0.1625,0.0226,39.4561,0.014,90
27941,149.414062,1.940072,236.565366,41.393323,1,0.3632,0.3746,0.0319,41.5166,0.018,90
28220,1.694561,-45.191612,326.278557,-69.858253,1,0.2985,0.3605,0.3149,41.4193,0.011,90
28301,0.189873,-45.586655,328.254458,-68.969298,1,0.3606,0.2852,1.362,40.8288,0.007,90
28391,351.953644,-62.132156,318.777388,-52.347124,1,0,0,0,,0.019,92
28636,51.855469,-28.630989,224.73326,-55.649872,1,0.1743,0.4412,0.3366,41.9364,0.009,67
28843,151.171875,2.537361,237.288526,43.169764,1,0.3664,0.3611,0.0225,41.4234,0.024,90
28915,53.789062,-27.784405,223.685697,-53.845803,1,0,0,0,,0.009,16
29088,52.558594,-27.279613,222.538937,-54.845107,1,0.3037,0.3244,0.0203,41.1521,0.008,90
29576,346.655182,-63.260487,320.952196,-50.040935,1,0.2362,2.5224,1.0484,46.5713,0.019,90
29668,151.699219,3.583322,236.533224,44.205648,1,0.1461,0.1584,0.0175,39.396,0.016,42
30066,351.259003,-64.386185,317.34486,-50.255113,1,0,0,0,,0.02,65
30172,33.574219,-5.379379,168.83809,-60.637536,1,0.5444,0.5455,0.0094,42.4889,0.017,90
30191,150.117188,2.238686,236.784618,42.139082,1,1.5405,1.3073,0.1521,44.8201,0.016,88
30576,51.855469,-27.953188,223.543603,-55.56147,1,0,0,0,,0.008,65
30895,349.429535,-62.508568,320.039643,-51.393745,1,0,0,0,,0.02,16
31100,1.694561,-45.191612,326.278557,-69.858253,1,0.3614,0.3471,1.2589,41.3231,0.011,90
31824,352.398651,-62.696659,318.017427,-51.967966,1,0.1838,0.0844,0.3311,37.9246,0.02,42
32238,34.101562,-5.829153,170.247753,-60.638325,1,0,0,0,,0.019,16
32375,53.964844,-28.630989,225.14295,-53.813613,1,0,0,0,,0.009,65
32695,358.636353,-46.768478,328.890146,-67.388837,1,0.7689,0.7806,0.0113,43.4371,0.008,90
33088,351.259003,-64.386185,317.34486,-50.255113,1,0.3437,0.3495,0.02,41.34,0.02,90
33179,51.855469,-27.953188,223.543603,-55.56147,1,0.4407,0.4765,0.4079,42.1357,0.008,90
33191,151.171875,2.238686,237.619933,42.994783,1,0.403,0.4039,0.0174,41.7094,0.024,42
33409,33.222656,-4.780192,167.515653,-60.396584,1,0,0,0,,0.018,65
33419,150.820312,3.732834,235.666318,43.572109,1,0.7462,0.7461,0.0356,43.3165,0.016,90
34012,35.683594,-5.379379,171.992947,-59.253501,1,0.0853,0.0793,0.021,37.7805,0.02,52
34299,346.276581,-64.011238,320.448031,-49.344136,1,0.1901,0.2016,0.0086,39.9759,0.019,62
34437,152.050781,2.985506,237.495952,44.143927,1,0.2657,0.2629,1.0604,40.6263,0.019,67
35197,51.679688,-27.447618,222.618229,-55.642263,1,0.2509,0.2366,0.1269,40.367,0.01,42
35315,150.46875,3.732834,235.392208,43.283244,1,1.8476,1.5239,0.2256,45.2314,0.02,95
35555,359.805206,-46.768478,327.135979,-67.829903,1,0,0,0,,0.011,65
35743,34.277344,-5.67919,170.31493,-60.410322,1,0.0781,0.0752,0.0197,37.6598,0.02,42
35772,150.117188,2.836105,236.124718,42.483719,1,0.2385,0.2588,0.0217,40.5879,0.016,90
35855,0.929752,-44.597992,328.531426,-70.083244,1,0.3815,0.4401,0.5094,41.93,0.011,90
36362,53.085938,-27.784405,223.525509,-54.460748,1,0,0,0,,0.007,65
36671,149.589844,3.583322,234.885369,42.474696,1,0,0,0,,0.024,65
36783,349.966217,-62.696659,319.542989,-51.376556,1,0.1287,0.1431,0.0129,39.1539,0.021,90
37149,359.816315,-44.003082,331.45134,-70.123054,1,0.9435,0.9017,0.0524,43.8228,0.013,90
37168,53.613281,-27.953188,223.929533,-54.024772,1,0,0,0,,0.007,65
37865,151.171875,2.238686,237.619933,42.994783,1,0.2263,0.2221,0.0172,40.2112,0.024,90
37872,150.820312,3.134927,236.341348,43.230123,1,0.2517,0.2448,0.0217,40.4506,0.016,67
38174,1.694561,-45.191612,326.278557,-69.858253,1,1.6152,1.7388,0.1564,45.5843,0.011,88
38690,33.222656,-4.780192,167.515653,-60.396584,1,0.1801,0.1274,0.0307,38.8795,0.018,90
38730,53.261719,-27.615883,223.280041,-54.281374,1,0,0,0,,0.006,16
38754,33.574219,-6.579593,170.455585,-61.548219,1,0.2646,0.2656,0.0093,40.6515,0.021,90
38899,1.666667,-44.399834,327.51919,-70.529554,1,0.4828,0.4754,0.0332,42.1297,0.009,90
39398,51.679688,-27.447618,222.618229,-55.642263,1,0.3347,0.5555,0.5802,42.5365,0.01,90
39846,351.382965,-64.011238,317.574052,-50.604657,1,0.1886,0.278,0.6915,40.7654,0.023,62
41515,358.648071,-46.37508,329.462659,-67.716008,1,0.572,0.5797,0.0188,42.6484,0.009,90
41738,150.117188,3.732834,235.120533,42.993809,1,0.1206,0.1277,0.0222,38.8865,0.02,42
42118,0.574468,-45.98114,327.041068,-68.778764,1,0.1801,0.1977,0.0131,39.9287,0.006,62
42224,51.328125,-27.784405,223.130589,-55.999499,1,0.1119,0.0888,0.1482,38.0396,0.013,42
42288,359.415588,-46.768478,327.729895,-67.686097,1,0.3487,0.3864,0.0241,41.5962,0.009,90
42689,346.5625,-63.448284,320.82472,-49.866957,1,0,0,0,,0.021,65
42776,152.050781,3.284369,237.157374,44.318466,1,0,0,0,,0.019,16
42852,351.321442,-64.198746,317.458993,-50.429931,1,0.6771,0.668,0.0223,43.0226,0.023,88
43028,51.679688,-27.447618,222.618229,-55.642263,1,0.1366,0.1364,0.0092,39.0408,0.01,42
43211,34.980469,-6.279288,172.180075,-60.389399,1,0.3321,0.3275,0.0164,41.1762,0.023,90
43509,51.855469,-27.953188,223.543603,-55.56147,1,0,0,0,,0.008,92
43812,150.820312,3.134927,236.341348,43.230123,1,0.2783,0.2821,0.0219,40.8022,0.016,90
44217,51.855469,-27.953188,223.543603,-55.56147,1,0.4288,0.1772,0.6584,39.6645,0.008,90
44480,53.964844,-28.630989,225.14295,-53.813613,1,0,0,0,,0.009,16
44836,151.171875,1.342993,238.60252,42.464379,1,0,0,0,,0.026,65
45115,2.097458,-45.783966,324.73784,-69.478613,1,0,0,0,,0.011,65
45203,150.820312,3.134927,236.341348,43.230123,1,0,0,0,,0.016,16
45319,348.595886,-63.07262,320.023289,-50.71306,1,0.127,0.0737,0.0272,37.6138,0.021,42
45349,32.695312,-4.929937,166.868469,-60.84123,1,0.2821,2.6404,0.9837,46.6916,0.018,67
46210,51.855469,-27.953188,223.543603,-55.56147,1,0,0,0,,0.008,65
46804,352.398651,-62.696659,318.017427,-51.967966,1,0.2933,2.3248,0.6338,46.3561,0.02,62
47725,351.259003,-64.386185,317.34486,-50.255113,1,0.3615,0.295,0.7526,40.9133,0.02,90
48187,52.207031,-26.610098,221.298836,-55.042928,1,0.5466,0.5379,0.1063,42.4521,0.014,90
48260,52.207031,-28.29155,224.208534,-55.300157,1,0.1677,0.1746,0.4651,39.6283,0.007,42
48473,51.855469,-27.953188,223.543603,-55.56147,1,0.0809,0.0825,0.0165,37.8722,0.008,42
48575,32.695312,-4.929937,166.868469,-60.84123,1,0.7796,0.7698,0.0437,43.4,0.018,90
48687,347.8125,-63.448284,320.128971,-50.202348,1,0.7916,0.8371,0.0551,43.6237,0.021,88
48725,53.613281,-28.630989,225.073365,-54.119461,1,0.3658,0.3599,0.1804,41.4145,0.006,67
48749,348.529419,-61.75544,321.29398,-51.763351,1,1.6645,1.5782,0.0657,45.3252,0.016,88
48817,348.586945,-64.573555,318.693903,-49.477869,1,0.0962,0.1446,0.6309,39.1788,0.018,90
49219,33.398438,-3.732834,166.49228,-59.466614,1,0,0,0,,0.022,65
49389,349.285706,-62.884678,319.786163,-51.046461,1,0,0,0,,0.018,92
49529,53.613281,-27.953188,223.929533,-54.024772,1,0.1974,0.2117,0.0123,40.0947,0.007,62
49783,51.328125,-27.784405,223.130589,-55.999499,1,0,0,0,,0.013,65
49937,151.347656,3.583322,236.252362,43.918627,1,0.0947,0.1091,0.0218,38.5175,0.015,52
50277,349.046051,-61.943836,320.79653,-51.753706,1,0.3009,0.2478,1.3214,40.4807,0.017,67
51178,52.558594,-27.279613,222.538937,-54.845107,1,0.9668,0.9534,0.0188,43.9721,0.008,88
51279,1.708861,-45.586655,325.688716,-69.520253,1,0.176,0.1824,0.3979,39.7343,0.011,90
51318,34.277344,-5.67919,170.31493,-60.410322,1,0.2987,0.3038,0.0273,40.9868,0.02,62
52370,352.711273,-63.823658,316.922299,-51.059403,1,0,0,0,,0.024,16
52425,52.910156,-26.276812,220.926149,-54.363918,1,0.1587,0.1182,0.6266,38.7042,0.008,42
53025,358.636353,-46.768478,328.890146,-67.388837,1,0,0,0,,0.008,65
53249,349.285706,-62.884678,319.786163,-51.046461,1,0.3941,0.4211,0.4203,41.8166,0.018,90
53354,34.980469,-6.279288,172.180075,-60.389399,1,0.2231,0.2134,0.0125,40.1138,0.023,62
53525,349.615387,-63.636005,318.927246,-50.506542,1,0,0,0,,0.018,16
53574,0.574468,-45.98114,327.041068,-68.778764,1,0.4176,0.4427,0.042,41.9454,0.006,90
53938,53.4375,-29.142223,225.90812,-54.336118,1,0,0,0,,0.008,16
54416,347.8125,-63.448284,320.128971,-50.202348,1,0.3708,0.3734,0.0162,41.5087,0.021,42
54883,347.617462,-62.508568,321.121462,-50.904708,1,0.7844,0.8578,0.0392,43.6891,0.019,88
55018,350.230255,-61.943836,320.053946,-52.070537,1,0,0,0,,0.017,65
55033,151.171875,1.342993,238.60252,42.464379,1,0.492,0.5345,0.0204,42.4355,0.026,42
55060,51.855469,-28.630989,224.73326,-55.649872,1,0.0234,0.0824,0.0202,37.868,0.009,42
55141,2.097458,-45.783966,324.73784,-69.478613,1,0,0,0,,0.011,65
55155,34.101562,-5.829153,170.247753,-60.638325,1,0,0,0,,0.019,65
55354,350.230255,-61.943836,320.053946,-52.070537,1,0.1958,2.387,0.2904,46.4258,0.017,90
55946,347.617462,-62.508568,321.121462,-50.904708,1,0,0,0,,0.019,65
56053,150.292969,2.686724,236.427488,42.541447,1,0.8507,0.8283,0.0406,43.5954,0.016,90
56349,1.694561,-45.191612,326.278557,-69.858253,1,0.1646,0.2,0.1961,39.9565,0.011,52
57205,359.816315,-44.003082,331.45134,-70.123054,1,0.5891,0.6057,0.0306,42.7639,0.013,90
57237,52.207031,-26.610098,221.298836,-55.042928,1,0.2544,0.3807,0.6581,41.558,0.014,42
57561,152.050781,3.284369,237.157374,44.318466,1,0,0,0,,0.019,65
57666,1.666667,-44.399834,327.51919,-70.529554,1,0.4399,0.4648,0.0183,42.0716,0.009,90
57784,348.529419,-61.75544,321.29398,-51.763351,1,0,0,0,,0.016,65
59068,34.277344,-5.079716,169.526841,-59.95664,1,0.5716,0.5429,0.1404,42.4762,0.019,42
59163,150.644531,3.583322,235.698235,43.342784,1,0,0,0,,0.018,65
59427,151.171875,1.342993,238.60252,42.464379,1,0,0,0,,0.026,65
59580,1.753247,-46.768478,324.030235,-68.498041,1,0.4178,0.502,0.7485,42.2716,0.014,42
59644,34.980469,-6.279288,172.180075,-60.389399,1,0.4238,0.3347,0.1863,41.2308,0.023,90
59732,347.8125,-63.448284,320.128971,-50.202348,1,0.2489,2.7125,0.9243,46.7623,0.021,90
60023,359.814819,-44.399834,330.775011,-69.801007,1,0.6857,0.6858,0.0077,43.0925,0.009,90
60340,148.710938,2.836105,235.050801,41.328739,1,0.3521,0.3472,0.0096,41.3237,0.031,67
60407,346.130127,-63.07262,321.423103,-50.042305,1,0,0,0,,0.02,65
60742,346.5625,-63.448284,320.82472,-49.866957,1,0,0,0,,0.021,65
61101,151.171875,2.537361,237.288526,43.169764,1,0,0,0,,0.024,16
61763,52.207031,-28.29155,224.208534,-55.300157,1,0.5749,0.5237,0.0263,42.3819,0.007,90
62078,0.965665,-46.37508,325.845907,-68.579427,1,0,0,0,,0.007,65
62187,33.398438,-3.732834,166.49228,-59.466614,1,0.1391,0.1301,1.1896,38.93,0.022,64
62230,53.085938,-27.784405,223.525509,-54.460748,1,0,0,0,,0.007,16
62253,51.328125,-27.447618,222.535046,-55.950727,1,0.7671,0.761,0.0367,43.3693,0.013,90
62254,53.085938,-27.11186,222.384291,-54.355086,1,0.2738,0.2895,0.018,40.8666,0.007,90
62384,351.321442,-64.198746,317.458993,-50.429931,1,0,0,0,,0.023,65
62541,347.013428,-62.508568,321.472056,-50.73533,1,0.549,0.328,0.8012,41.1797,0.018,90
62908,150.820312,3.134927,236.341348,43.230123,1,0.2372,0.2111,0.0189,40.0878,0.016,62
63561,359.814819,-44.399834,330.775011,-69.801007,1,0.7386,0.7247,0.0129,43.239,0.009,90
63718,0.965665,-46.37508,325.845907,-68.579427,1,0.2891,0.42,0.0613,41.81,0.007,90
63860,351.382965,-64.011238,317.574052,-50.604657,1,0.1617,0.1988,0.0128,39.9412,0.023,42
64485,348.586945,-64.573555,318.693903,-49.477869,1,0,0,0,,0.018,16
64854,1.723404,-45.98114,325.117958,-69.180825,1,0.1163,0.0705,0.0098,37.5117,0.01,62
64888,52.03125,-26.443335,220.963669,-55.168557,1,0.3802,0.4086,0.7097,41.739,0.014,90
64911,150.820312,1.64151,237.994507,42.358984,1,0.2375,2.2621,1.0009,46.2837,0.02,90
65749,33.398438,-4.331149,167.226341,-59.936551,1,0,0,0,,0.018,65
65877,349.891296,-64.573555,317.972107,-49.786192,1,0,0,0,,0.023,65
66325,53.261719,-27.615883,223.280041,-54.281374,1,0,0,0,,0.006,65
66548,347.617462,-62.508568,321.121462,-50.904708,1,0.3713,0.4282,1.3857,41.8598,0.019,90
66967,150.996094,2.388015,237.313912,42.939977,1,0.458,0.4551,0.0163,42.0168,0.021,88
66999,33.222656,-4.780192,167.515653,-60.396584,1,0.3635,0.4147,0.0332,41.777,0.018,90
67245,150.292969,2.686724,236.427488,42.541447,1,0.0482,0.0598,0.0147,37.1379,0.016,42
67480,1.753247,-46.768478,324.030235,-68.498041,1,0,0,0,,0.014,65
67514,34.101562,-5.829153,170.247753,-60.638325,1,0.2756,0.5256,0.1081,42.3913,0.019,90
67730,52.910156,-25.944481,220.36635,-54.301439,1,0.3927,0.3926,0.0321,41.6368,0.01,90
67898,347.8125,-63.448284,320.128971,-50.202348,1,0.3824,0.3802,0.0081,41.5546,0.021,42
67981,151.523438,3.134927,236.900695,43.80317,1,0,0,0,,0.019,65
68003,150.820312,3.732834,235.666318,43.572109,1,0.4201,0.4099,0.0162,41.7474,0.016,90
68276,33.398438,-3.732834,166.49228,-59.466614,1,0.0251,0.0342,0.0167,35.8818,0.022,42
68667,348.595886,-63.07262,320.023289,-50.71306,1,0,0,0,,0.021,16
68835,348.908447,-63.823658,319.169886,-50.176186,1,0.0177,0.0504,0.0318,36.753,0.018,42
68886,2.457983,-45.389202,324.632685,-69.945696,1,0.3991,0.4463,0.3629,41.9666,0.011,52
69271,148.710938,2.836105,235.050801,41.328739,1,0.4269,0.4491,0.8217,41.9826,0.031,90
69490,51.855469,-26.276812,220.627031,-55.293792,1,0.2919,0.4825,0.1693,42.1687,0.014,42
69767,1.694561,-45.191612,326.278557,-69.858253,1,0.1603,2.4521,1.2066,46.4968,0.011,62
70046,351.321442,-64.198746,317.458993,-50.429931,1,0.3441,0.3129,0.028,41.061,0.023,90
70171,53.789062,-27.784405,223.685697,-53.845803,1,0.4708,0.5059,0.0358,42.2916,0.009,90
70272,34.277344,-5.079716,169.526841,-59.95664,1,0.3088,0.3314,0.0357,41.2058,0.019,88
70276,151.171875,1.342993,238.60252,42.464379,1,0.8102,0.7948,0.0774,43.4853,0.026,88
70430,150.820312,1.64151,237.994507,42.358984,1,0.0451,0.0858,0.0255,37.9624,0.02,42
70571,149.414062,1.940072,236.565366,41.393323,1,0.3902,0.4137,1.1078,41.7706,0.018,90
70816,349.429535,-62.508568,320.039643,-51.393745,1,0,0,0,,0.02,65
70977,51.328125,-27.784405,223.130589,-55.999499,1,0.3428,0.3404,0.0099,41.2737,0.013,90
71080,53.964844,-28.630989,225.14295,-53.813613,1,0,0,0,,0.009,92
71084,52.558594,-27.279613,222.538937,-54.845107,1,0.1522,0.1472,0.0208,39.2216,0.008,42
71126,53.964844,-28.630989,225.14295,-53.813613,1,0.3021,0.5146,0.5741,42.3363,0.009,62
71954,1.666667,-44.399834,327.51919,-70.529554,1,0.2483,0.2571,0.6448,40.5711,0.009,90
72256,358.636353,-46.768478,328.890146,-67.388837,1,0,0,0,,0.008,65
72428,33.574219,-5.379379,168.83809,-60.637536,1,0.2214,2.4663,0.4396,46.512,0.017,90
72489,53.613281,-26.944359,222.237403,-53.863858,1,0.8358,0.8312,0.0197,43.6047,0.009,90
73031,34.277344,-5.079716,169.526841,-59.95664,1,0.3151,0.5833,0.2442,42.6648,0.019,52
73236,33.398438,-3.732834,166.49228,-59.466614,1,0.1398,0.528,0.4528,42.4036,0.022,90
73509,34.453125,-5.229529,169.987075,-59.956185,1,0.2953,0.2879,0.0259,40.8522,0.019,42
74093,351.259003,-64.386185,317.34486,-50.255113,1,0.394,0.4643,1.0625,42.0686,0.02,90
75562,346.5625,-63.448284,320.82472,-49.866957,1,0,0,0,,0.021,65
75792,148.886719,2.686724,235.347248,41.389003,1,0.3699,0.3602,0.0451,41.4171,0.028,90
75886,358.636353,-46.768478,328.890146,-67.388837,1,0.3985,0.3735,0.0375,41.5091,0.008,90
75987,54.667969,-27.615883,223.610785,-53.05084,1,0.9014,0.8506,0.0414,43.6664,0.009,88
76304,348.595886,-63.07262,320.023289,-50.71306,1,2.4303,2.6811,1.0262,46.7317,0.021,95
